dataset_of_90s_track,dataset_of_90s_artist,dataset_of_90s_uri,dataset_of_90s_danceability,dataset_of_90s_energy,dataset_of_90s_key,dataset_of_90s_loudness,dataset_of_90s_mode,dataset_of_90s_speechiness,dataset_of_90s_acousticness,dataset_of_90s_instrumentalness,dataset_of_90s_liveness,dataset_of_90s_valence,dataset_of_90s_tempo,dataset_of_90s_duration_ms,dataset_of_90s_time_signature,dataset_of_90s_chorus_hit,dataset_of_90s_sections,dataset_of_90s_target,dataset_of_90s_id_ano
There's Your Trouble,Dixie Chicks,spotify:track:69m9WDPBvemwujQwdONslk,0.737,0.869,2,"-5,433",1,"0,0267","0,481",0,"0,308","0,898","126,628",193065,4,"58,20316",7,1,6
Things I'm Gonna Do,Rasputina,spotify:track:2c8BR1J5nESSDMQ0sFix1w,0.363,0.519,5,"-11,287",0,"0,126","0,123","0,00401","0,181","0,301","163,52",191653,4,"35,10833",8,0,6
Think Of You,Usher,spotify:track:1FlDtQBj95pnFbS9kCTZEI,0.71,0.431,0,"-8,333",1,"0,0388","0,0553","4,23E-05","0,0537","0,553","93,105",229333,4,"24,02991",9,1,6
Thinkin' Bout It,Gerald Levert,spotify:track:4DDhR1Zd6WYbNiCd13Uu4i,0.734,0.659,1,"-5,191",1,"0,0711","0,0983",0,"0,252","0,388","116,485",391040,4,"29,15955",15,1,6
This House,Tracie Spencer,spotify:track:10JIQ4VbdRMlqvSJGvi7El,0.74,0.738,6,"-9,849",0,"0,0399","0,0303","0,00406","0,0324","0,971","112,589",306533,4,"27,13959",13,1,6
This Is How We Party,S.O.A.P.,spotify:track:42yb3aUH2iUYzbcIelm2f9,0.758,0.911,6,"-4,192",0,"0,0409","0,0467","0,00252","0,687","0,911","109,974",198067,4,"49,14451",7,1,6
This Kiss,Faith Hill,spotify:track:5EYWGM3Ns3iYew8ws0FatB,0.398,0.804,11,"-5,559",1,"0,0451","0,175",0,"0,181","0,709","186,752",194307,4,"25,78212",9,1,6
Thought I'd Died And Gone To Heaven,Bryan Adams,spotify:track:68Qv4S2uJ0nLvdtWPrlOVt,0.44,0.738,4,"-8,193",1,"0,0295","0,0657",0,"0,0988","0,535","174,376",348400,4,"22,48636",12,1,6
Thrash Under Pressure,Exodus,spotify:track:2vjQLtmUsAAgTl0nPceoV0,0.373,0.997,11,"-5,442",0,"0,213","0,000402","0,377","0,474","0,182","106,049",159707,4,"18,80157",7,0,6
Time After Time,Inoj,spotify:track:2N5CvukjQqiWxjzZLMqqBN,0.776,0.563,0,"-8,84",1,"0,0324","0,223","0,00611","0,0681","0,395","131,728",255673,4,"31,8569",12,1,6
Time After Time,Timmy T.,spotify:track:2drQ6wg2hdl6RDslarifh8,0.641,0.573,9,"-9,198",1,"0,0485","0,191",0,"0,317","0,5","149,826",209427,5,"38,54258",11,1,6
Time And Chance,Color Me Badd,spotify:track:20DRw0Qh9ges1gjlMI8eKM,0.697,0.451,2,"-7,657",1,"0,0776","0,027","6,26E-06","0,13","0,249","180,53",263200,4,"15,81051",16,1,6
To Be With You,Mr. Big,spotify:track:3Mmt6Xk0H6VR92PEp6x3hP,0.688,0.375,4,"-9,601",1,"0,0535","0,286",0,"0,133","0,45","83,635",210480,4,"107,10724",7,1,6
To The Moon And Back,Savage Garden,spotify:track:6FRtjadDsEhZIQIlh1loEM,0.584,0.76,0,"-7,369",0,"0,0359","0,0205","7,25E-06","0,1","0,325","104,101",341067,4,"24,32685",10,1,6
Todo Aquel Ayer,Caribbean Jazz Project,spotify:track:4urxXihKVboY2uyxorVBit,0.698,0.41,5,"-11,606",0,"0,0284","0,577","0,838","0,221","0,682","98,339",254200,4,"32,19843",14,0,6
Tonight The Heartache's On Me,Dixie Chicks,spotify:track:5K4Dl7nz6NSUONT4fl4sJV,0.681,0.731,5,"-4,64",1,"0,0289","0,192",0,"0,356","0,82","120,736",206618,4,"65,55889",9,1,6
Too Blind To See It,Kym Sims,spotify:track:4SmiFk4zGbPVf0vvoSDvuG,0.776,0.585,0,"-11,551",1,"0,0361","0,000403","0,227","0,0737","0,698","118,996",211200,4,"25,82171",10,1,6
Too y Toos Tatoos,La Lupita,spotify:track:0RULGt9V8ITzA3fheSuLlH,0.448,0.633,11,"-7,305",0,"0,0399","6,69E-05","0,000355","0,111","0,782","128,273",202533,4,"30,48082",11,0,6
Tootsee Roll,69 Boyz,spotify:track:0SAIjVOwxVnO1l9HGvLuOU,0.869,0.725,9,"-12,507",0,"0,256","0,0453",0,"0,203","0,699","132,989",261360,4,"47,68012",13,1,6
Top Of The World,Van Halen,spotify:track:5IpIcYj3omb4iOP76bAoRP,0.546,0.785,9,"-8,788",1,"0,0297","0,0354","3,6E-06","0,0935","0,804","127,957",232867,4,"44,24606",11,1,6
Total Eclipse Of The Heart,Nicki French,spotify:track:2hPOOLM9Oefyy43eAXR4Hf,0.575,0.912,0,"-7,039",1,"0,0285","0,00463","6,01E-05","0,352","0,591","135,988",232347,4,"28,57203",10,1,6
Touching,Marilyn Crispell,spotify:track:2WLawlAlXKhMh6wYmVLX63,0.421,0.0875,9,"-23,138",0,"0,0392","0,805","0,794","0,0859","0,0373","115,891",402360,5,"63,72166",18,0,6
Traces of Reality,Dødheimsgard,spotify:track:30MEZzAFiAQv5qIucrY07Y,0.184,0.869,0,"-5,639",1,"0,137","1,05E-05","0,885","0,12","0,106","119,585",426960,4,"121,85607",13,0,6
Transylvanian Concubine (The Manson Mix (Radio Edit))**,Rasputina,spotify:track:2SXswiR0TE3AULlCwvgg5E,0.666,0.765,1,"-7,859",0,"0,0973","3,86E-05","0,00529","0,81","0,563","103,971",173693,4,"32,5386",9,0,6
Treat 'Em Right,Chubb Rock,spotify:track:2QHmGfplU3ypWOGgJM46in,0.932,0.54,1,"-13,168",1,"0,227","0,0362","7,48E-05","0,204","0,57","116,351",283307,4,"29,10572",14,1,6
Trippin',Total Featuring Missy Elliott,spotify:track:5QfobfsCZuyPnCzXHKGs9r,0.753,0.831,11,"-6,431",0,"0,0958","0,173","1,23E-05","0,0927","0,505","124,151",267328,4,"50,14441",10,1,6
Trouble Man,Reuben Wilson,spotify:track:4czhquY9qnTihGvQfbY1j9,0.496,0.47,9,"-10,193",0,"0,0703","0,513","0,58","0,101","0,48","163,029",495093,3,"51,02723",20,0,6
Tryin' To Get Over You,Vince Gill,spotify:track:2rKtSHDkql7aZuWKUdSylq,0.578,0.371,2,"-10,537",1,"0,0283","0,632","1,75E-05","0,165","0,188","60,504",225627,4,"48,10375",8,1,6
"Tsar Saltan, Op. 57: Flight of the Bumblebee",Nikolai Rimsky-Korsakov,spotify:track:08ttJ6UR1O7Ofrpu1Qe939,0.458,0.11,9,"-22,234",0,"0,0309","0,977","0,903","0,359","0,481","83,43",84267,4,"51,06891",4,0,6
Tubthumping,Chumbawamba,spotify:track:5YScXJKtefsgdskIy60N7A,0.263,0.871,2,"-7,496",1,"0,131","0,106",0,"0,363","0,622","206,679",278960,4,"25,21243",10,1,6
Tucker's Town,Hootie & The Blowfish,spotify:track:5wDeYEOMGyOEKjlo7bbKsE,0.419,0.666,0,"-7,781",1,"0,0401","0,0372",0,"0,281","0,481","79,78",241973,4,"38,65826",6,1,6
Twilight Zone,2 Unlimited,spotify:track:4UuhI4gOPHmv15xOnGIJ9x,0.7,0.99,3,"-7,559",0,"0,0499","0,0873","0,00211","0,151","0,77","127,884",248197,4,"31,12469",15,1,6
Twisted,Keith Sweat,spotify:track:69QIVIjPMnI1ABLBqh9P1b,0.615,0.514,11,"-9,759",1,"0,0466","0,393",0,"0,248","0,822","175,849",260667,4,"47,70674",11,1,6
"Two Studies, Op. 39: Folk Tune",Eugene Goossens,spotify:track:2w5vt5IVKzNegZ52R79viM,0.367,0.0282,9,"-26,375",0,"0,0647","0,995","0,873","0,073","0,0713","202,513",136333,4,"61,30165",7,0,6
Two To Make It Right,Seduction,spotify:track:6GS6uE1vDmtzxO8GztAR2O,0.772,0.598,7,"-10,857",0,"0,0429","0,204","0,00345","0,513","0,717","114,419",282267,4,"35,55838",13,1,6
Two-Headed Boy Pt. 2,Neutral Milk Hotel,spotify:track:6lnZW2wFfcTABaoRJUgMyx,0.448,0.365,8,"-7,159",1,"0,0264","0,697",0,"0,136","0,134","91,19",313973,3,"33,53105",7,0,6
Unchained Melody,The Righteous Brothers,spotify:track:1jFhnVoJkcB4lf9tT0rSZS,0.361,0.219,0,"-16,553",1,"0,0285","0,563",0,"0,558","0,26","98,532",216267,3,"51,3972",11,1,6
Uncle Tom's Cabin,Warrant,spotify:track:3WW3g2scq0m7ZY5JCxrdWw,0.633,0.732,8,"-6,785",1,"0,0707","0,186","1,37E-05","0,13","0,273","126,567",241507,4,"34,58011",9,1,6
Under The Bridge,Red Hot Chili Peppers,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,0.559,0.345,4,"-13,496",1,"0,0459","0,0576","0,000105","0,141","0,458","84,581",264307,4,"58,74428",10,1,6
Universal Heart-Beat,Juliana Hatfield,spotify:track:7Hj5QvOZvdZKtlBuq8nTXE,0.534,0.814,2,"-7,978",1,"0,0717","0,0359","0,00539","0,721","0,686","127,967",205907,4,"53,22886",8,1,6
Unskinny Bop,Poison,spotify:track:1Z6lKdYhwp8WYoBqGCKxlM,0.574,0.93,1,"-2,949",1,"0,0413","0,0657","7,78E-06","0,108","0,69","92,303",228067,4,"22,29365",10,1,6
Until Your Love Comes Back Around,RTZ,spotify:track:5gfy2vyy0SmXEwOgSfMjec,0.55,0.534,8,"-10,6",1,"0,0331","0,229",0,"0,0714","0,311","134,662",360400,4,"37,74389",12,1,6
Up on the Blue Ridge,Scott Vestal,spotify:track:7r8NX1HNmO73rL5t9xmvDA,0.403,0.632,4,"-13,879",0,"0,0344","0,624","0,968","0,293","0,911","161,636",157800,4,"46,25304",9,0,6
Use Your Heart,SWV,spotify:track:5mCQirG6bW3iDN0gpdoxrP,0.625,0.456,9,"-9,537",1,"0,0364","0,104","0,000161","0,334","0,642","73,927",289240,4,"30,38872",9,1,6
Valse a Pop,BeauSoleil,spotify:track:58Q4sVXSUPWF9dJ1ArIlp9,0.534,0.651,0,"-9,019",1,"0,0361","0,311",0,"0,367","0,96","160,576",205973,3,"53,2252",10,0,6
Verdadeiro Amor - Ao Vivo,Banda Magníficos,spotify:track:6sCGgj59qkhjaH8FXeT0R9,0.507,0.832,5,"-7,707",1,"0,0467","0,0149",7E-06,"0,429","0,553","105,923",181307,4,"49,13849",8,0,6
Vibeology,Paula Abdul,spotify:track:6IXKljJrwMJlyRhzHRbEDW,0.722,0.758,1,"-9,33",1,"0,0622","0,00485","0,00246","0,0768","0,645","117,975",316333,4,"73,99133",13,1,6
Victory,Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh,spotify:track:2B9aYvlGefTIgKLhM6ia8t,0.609,0.731,9,"-6,846",1,"0,322","0,397",0,"0,664","0,685","91,778",296267,4,"33,53861",11,1,6
VLetrmx,Autechre,spotify:track:7iupjrZvckPcvC4aeqeqcC,0.193,0.266,0,"-15,888",1,"0,0455","0,928","0,91","0,0913","0,0366","115,909",507373,4,"40,79516",27,0,6
Void of Fire,Metalium,spotify:track:5EF77TZ03IhgzItyHJRhGb,0.363,0.985,1,"-4,126",1,"0,146","1,56E-05","0,741","0,142","0,249","180,05",158707,4,"30,90434",9,0,6
Wade in the Water,Ella Jenkins,spotify:track:7exER11O6jaBmUWhOvWRGh,0.486,0.262,2,"-11,864",0,"0,0381","0,83",0,"0,16","0,329","128,764",244160,4,"24,69182",11,0,6
Waiting For That Day,George Michael,spotify:track:1y8pNONQUfiCDXWME7IQBa,0.612,0.777,0,"-10,903",1,"0,0403","0,217","0,000454","0,104","0,557","172,412",289997,4,"34,60379",15,1,6
Was It Nothing At All,Michael Damian,spotify:track:3SCeWq0qHsc8i2JxtJPSkd,0.487,0.648,2,"-5,332",1,"0,0279","0,0397","0,00072","0,321","0,442","134,95",282665,4,"18,69072",14,1,6
Watch For The Hook,"Cool Breeze Featuring OutKast, Goodie Mob & Witchdoctor",spotify:track:6ixxG8aM1RKFYEjH0odRcP,0.561,0.72,1,"-4,854",1,"0,355","0,0211",0,"0,353","0,518","86,953",271600,4,"27,08999",10,1,6
Watch Out Now,The Beatnuts Featuring Yellaklaw,spotify:track:6sWZn6kTuTrBkbOEQFoB3a,0.781,0.633,11,"-6,983",0,"0,291","0,0969","0,000984","0,154","0,913","100,414",174800,4,"19,77989",8,1,6
Waterfalls,TLC,spotify:track:6qspW4YKycviDFjHBOaqUY,0.77,0.505,1,"-7,345",1,"0,0828","0,311","7,4E-05","0,0777","0,757","171,798",279507,4,"33,47424",14,1,6
We Want a Rock,They Might Be Giants,spotify:track:3MQ2v8wNLG8TnKxZtPecao,0.549,0.762,7,"-8,002",1,"0,0309","0,0606",0,"0,158","0,805","86,001",167800,4,"36,58362",8,0,6
We Will Rock You,Ludwig Von 88,spotify:track:3OEcxifTOtsSH3xL0C7Kcx,0.486,0.577,7,"-10,164",1,"0,0786","0,0399","0,000799","0,0791","0,586","188,651",227067,4,"30,87912",11,0,6
Weekend Love,Queen Latifah,spotify:track:4ZlwcqC7NG6Fb1QJIqsJLn,0.79,0.574,8,"-11,129",0,"0,0622","0,00838","0,0182","0,0963","0,82","98,034",249000,4,"21,02595",11,1,6
We'll Recover,Matt Nathanson,spotify:track:06KkYeqHeM9S4zFty9c1Aw,0.537,0.458,6,"-8,739",1,"0,0314","0,321",0,"0,107","0,419","111,972",192067,4,"49,69756",9,0,6
Wendepunkt,Bo Nilsson,spotify:track:6uq0VJ8TewP7EQHXwhUosv,0.146,0.00787,5,"-24,586",1,"0,0407","0,989","0,846","0,0717","0,0284","66,998",275040,3,"35,96436",12,0,6
We've Got It Goin' On,Backstreet Boys,spotify:track:2rtDTRFjBoqyj2rgi5mOAF,0.758,0.875,3,"-4,518",0,"0,0363","0,0851",0,"0,227","0,91","112,966",219467,4,"25,03803",7,1,6
What About Us,Total,spotify:track:6Ph7bndA7A5ExoHIZPX4TJ,0.736,0.721,1,"-6,188",1,"0,0396","0,0143",0,"0,0451","0,72","96,365",243783,4,"44,82272",11,1,6
What Mattered Most,Ty Herndon,spotify:track:09nWHcNuohUS7HMPdIDwrr,0.529,0.509,0,"-8,926",1,"0,0253","0,415",0,"0,171","0,27","142,311",221427,4,"41,27974",12,1,6
What Time Is Love?,The KLF,spotify:track:2aS9u5Bh0PkoeDamlXYDxE,0.618,0.749,6,"-9,841",1,"0,0803","0,00187","9,51E-05","0,213","0,669","120,099",214320,4,"48,61253",11,1,6
Whateva Man,Redman,spotify:track:0pSaDwrMLM7F82LWJg9v6s,0.581,0.712,6,"-7,803",0,"0,476","0,268",0,"0,895","0,709","172,567",188547,4,"55,31669",10,1,6
What's Up,4 Non Blondes,spotify:track:20fT0s1mDYQ1VVLNql1HSE,0.694,0.268,9,"-13,184",1,"0,064","0,986","0,885","0,121","0,207","128,156",313124,4,"29,86197",15,1,6
When I Give My Love,Keith Sweat,spotify:track:4wiwUgr26EF6CgmjUvG4Yg,0.659,0.538,9,"-8,381",0,"0,0365","0,074",0,"0,085","0,518","116,566",365893,4,"32,62585",16,1,6
When I Said I Do,Clint Black,spotify:track:6NBaOUmCVpNAaqBDFiJkCn,0.507,0.411,10,"-8,657",1,"0,0276","0,308",0,"0,106","0,184","102,806",268960,3,"17,45857",11,1,6
When I'm Back On My Feet Again,Michael Bolton,spotify:track:47SOobTLWvyZpUfpmuUARJ,0.429,0.326,5,"-12,703",1,"0,03","0,377",0,"0,101","0,185","77,849",228267,4,"21,60423",11,1,6
When It's Sleepytime Down South,Wynton Marsalis,spotify:track:0ZO3xca4fN38Be1un20nc9,0.532,0.132,8,"-15,891",1,"0,047","0,865","0,159","0,166","0,332","89,321",309000,4,"44,3113",13,0,6
When The Lights Go Out,Five,spotify:track:37giHQffMdB94OqVy4ZBd8,0.854,0.827,5,"-6,424",1,"0,0335","0,0636",0,"0,123","0,961","104,001",249600,4,"42,51889",11,1,6
When Will I See You Smile Again?,Bell Biv DeVoe,spotify:track:3q0QmvdwHBETS89ZvelClL,0.727,0.436,6,"-11,862",0,"0,0281","0,0492","0,00338","0,0686","0,381","124,021",307133,4,"24,0258",12,1,6
When You Don't See Me (Remastered),Sisters of Mercy,spotify:track:7nu1rAUwlMIeOlaPbrK9Du,0.666,0.803,9,"-10,91",0,"0,0299","0,00837","0,187","0,304","0,862","121,258",294320,4,"49,7856",9,0,6
When You Talk About Love,Patti LaBelle,spotify:track:2Lux20V5A95rJRGtT7GfuD,0.859,0.761,8,"-5,504",0,"0,0321","0,0156","0,254","0,687","0,922","97,99",333373,4,"39,69022",9,1,6
Where Do U Want Me To Put It,Solo,spotify:track:2PezcbOknrIxEylhhzedVT,0.782,0.759,8,"-5,87",1,"0,0447","0,261",0,"0,102","0,779","87,01",243667,4,"94,58122",7,1,6
Where Does That Leave Love,George LaMond,spotify:track:0uCblGxozywHsi40jeutqr,0.619,0.978,4,"-4,378",1,"0,0844","0,00495","0,00549","0,0902","0,453","119,029",244958,4,"33,52079",8,1,6
Where Have All The Cowboys Gone?,Paula Cole,spotify:track:2ck13qfgRZ1msyEJlDqzvk,0.588,0.826,11,"-6,182",0,"0,0569","0,0351",0,"0,454","0,621","129,021",263653,4,"20,54807",11,1,6
Wherever Would I Be,Cheap Trick,spotify:track:5u6tE49JDHC6qiA0d2Ci6i,0.49,0.516,7,"-12,549",1,"0,0265","0,208",0,"0,101","0,22","73,922",246187,4,"39,70327",8,1,6
While My Guitar Gently Weeps,Russ Freeman & The Rippingtons,spotify:track:438EAa6MpBeDZSWwzZxtqS,0.68,0.721,6,"-7,09",1,"0,0336","0,00512","0,0693","0,0396","0,758","121,194",286467,4,"60,51365",10,0,6
White Jazz,Joe Loss And His Band,spotify:track:6Af3IyfIqkNd52ZiSqqoAw,0.867,0.338,0,"-13,159",0,"0,0794","0,926","0,434","0,106","0,659","111,439",184067,4,"34,67008",9,0,6
Who Am I,Beenie Man,spotify:track:4PaV16f3DUo9QxbQMUzMKH,0.628,0.753,11,"-8,778",1,"0,468","0,211",0,"0,12","0,559","86,194",196000,4,"23,28395",13,1,6
Who Can I Run To,Xscape,spotify:track:0wdaPticLmmqJdhgLDJ9zI,0.71,0.545,4,"-9,599",1,"0,0588","0,483",0,"0,0644","0,632","140,233",216333,4,"37,61331",9,1,6
Who Got The Props,Black Moon,spotify:track:2wReOKtzUIgMspOYtv37JV,0.868,0.579,8,-15,0,"0,245","0,0239",0,"0,336","0,684","100,135",281907,4,"59,00734",9,1,6
Who Is It,Michael Jackson,spotify:track:4HWcWgleTuUAWnVPNwW4CM,0.862,0.595,5,"-4,655",1,"0,121","0,0152","0,000343","0,104","0,502","103,168",393307,4,"40,91468",13,1,6
Who Said I Would,Phil Collins,spotify:track:6JrbcoCC9Zotanq4Or4nST,0.688,0.9,5,"-5,534",1,"0,049","0,164","0,00988","0,291","0,491","131,031",241787,4,"45,37201",9,1,6
Who Stole The Cookies?,Music For Little People Choir,spotify:track:7upszzU6ZIXewzi1cTBDCJ,0.594,0.258,2,"-18,513",1,"0,349","0,588","0,000102","0,12","0,663","81,261",130000,4,"32,49932",6,0,6
Whoomp! (There It Is),Tag Team,spotify:track:70jtZsS59vhmyZSsln0std,0.8,0.639,4,"-7,406",0,"0,0439","0,00123",0,"0,0803","0,45","129,443",226027,4,"31,41174",14,1,6
Who's Got Your Love,Nyasia,spotify:track:44e6togOkEOuPLpaop4FN5,0.721,0.923,1,"-8,19",1,"0,0881","0,0498","0,000224","0,286","0,882","122,865",294800,4,"48,59658",15,1,6
Why Can't You Come Home,Ex-Girlfriend,spotify:track:7FT7qUTOQE4XO6PNZPE0av,0.777,0.47,7,"-13,376",1,"0,0412","0,00754","7,29E-05","0,0648","0,712","103,452",348600,4,"88,2523",14,1,6
Wild Wild West,Will Smith Featuring Dru Hill & Kool Mo Dee,spotify:track:5AMvBCtX2rspUdoeJ9IsPN,0.861,0.597,10,"-7,221",0,"0,162","0,0983",0,"0,176","0,694","107,016",268453,4,"55,1764",9,1,6
Will You Be There (In The Morning),Heart,spotify:track:78fh8ymSUdo9oWkShDZbT8,0.553,0.743,9,"-6,794",1,"0,0281","0,0365","1,65E-05","0,194","0,528","166,499",269800,4,"48,47567",12,1,6
Won't Talk About It,Beats International,spotify:track:3cgWQzRlXoDkMKBb6AEi4s,0.732,0.566,11,"-15,492",0,"0,0337","0,0299","0,00174","0,229","0,943","105,826",276227,4,"33,67955",13,1,6
Woof,Snoop Dogg Featuring Mystikal And Fiend,spotify:track:2bryPxmm98dhBU73ut3lw3,0.797,0.786,6,"-7,135",0,"0,385","0,066",0,"0,272","0,85","166,239",261867,4,"19,03742",13,1,6
Work To Do,Vanessa Williams,spotify:track:2906fV2q5W2xRmAEf9vCoW,0.762,0.666,7,"-12,051",1,"0,0577","0,0511","2,36E-05","0,131","0,679","93,109",276533,4,"75,74365",11,1,6
Worker Man,Patra,spotify:track:1RoLlFWeFHxc36TU4Bg2eS,0.814,0.759,7,"-11,117",1,"0,11","0,129",0,"0,306","0,881","82,366",296827,4,"28,65709",13,1,6
Working With Meat,Jack Off Jill,spotify:track:4bLU7naM4vxb0VbFKgNu5S,0.271,0.835,9,"-6,764",1,"0,0671","0,0111",0,"0,0701","0,529","190,646",123159,4,"40,01797",6,0,6
Wrong Again,Martina McBride,spotify:track:2grwz4trMgDLOfEITQgAv3,0.531,0.554,0,"-5,231",1,"0,0265","0,215",0,"0,101","0,102","141,434",195400,4,"41,1094",10,1,6
Y Tú Con Él,Industria del Amor,spotify:track:1UcuiA4y04FqFZnWUBGIDS,0.522,0.339,11,"-13,437",1,"0,0289","0,506","4,14E-06","0,338","0,616","98,994",217027,3,"40,11018",10,0,6
Yamral Tiletish,The Roha Band,spotify:track:5euumLX8rQyUPztEepOtkt,0.672,0.697,0,"-9,754",1,"0,031","0,436","2,59E-06","0,123","0,846","112,137",341600,4,"20,57658",14,0,6
Yo No Soy Rebelde,Los Locos Del Ritmo,spotify:track:08U1KWevchrVHDNkQV2iO7,0.677,0.716,0,"-8,777",0,"0,145","0,899","0,00684","0,0836","0,945","108,955",80765,4,"22,29296",6,0,6
Yolanda,Reality,spotify:track:6auKJC7E0UN96e3kQuEaT1,0.763,0.678,8,"-9,25",0,"0,0577","0,00049","2,26E-06","0,013","0,943","123,927",307049,4,"30,25096",13,1,6
You,Jesse Powell,spotify:track:0hcW7qPqWWJc8189OaqQvX,0.728,0.324,0,"-9,467",0,"0,0258","0,307","0,00198","0,0554","0,252","112,212",318467,4,"26,51395",14,1,6
You Better Wait,Steve Perry,spotify:track:004ZH9ISUSEwansKKbUdJs,0.348,0.924,7,"-3,048",1,"0,0945","0,236",0,"0,102","0,0869","114,117",291800,4,"39,12136",13,1,6
You Get What You Give,New Radicals,spotify:track:1Cwsd5xI8CajJz795oy4XF,0.621,0.901,2,"-5,396",1,"0,0302","0,17",0,"0,0875","0,744","113,967",300773,4,"26,02721",12,1,6
You Mean The World To Me,Toni Braxton,spotify:track:1d0GYRpnCb0XNQcQdKhfKL,0.595,0.736,11,"-6,648",1,"0,0469","0,0964","9,28E-06","0,104","0,521","167,669",296400,4,"28,32539",18,1,6
You Put A Move On My Heart,Quincy Jones Introducing Tamia,spotify:track:3bhZuw0gZRLEOGeggjWzpP,0.492,0.438,5,"-6,984",1,"0,0273","0,591","9,62E-05","0,116","0,204","149,74",372640,3,"44,80168",16,1,6
You Said,Mona Lisa,spotify:track:3KBpe2oTYKFXzkYihkdcmb,0.556,0.498,5,"-6,796",1,"0,16","0,274","2,15E-05","0,0813","0,59","180,21",287960,4,"27,73118",14,1,6
You Stepped Out Of A Dream,Tal Farlow,spotify:track:5iQW7ODq8KocmoMHKx9VbW,0.426,0.396,7,"-13,434",0,"0,0443","0,932","0,907","0,166","0,703","140,153",343133,4,"32,12602",16,0,6
You Still Touch Me,Sting,spotify:track:5kFCKt7T3ObVmDZjMKcBSP,0.666,0.577,7,"-9,012",1,"0,022","0,0543",0,"0,0837","0,634","101,283",226760,4,"43,64186",12,1,6
You Used To Love Me,Faith Evans,spotify:track:0KhXVmAN4sqeEgsqRd39f2,0.702,0.458,0,"-8,195",1,"0,035","0,247","1,64E-06","0,126","0,678","89,271",269173,4,"31,86601",12,1,6
You Won't Forget Me,La Bouche,spotify:track:5XeQ0rudxvqNA2mJmZBjBK,0.722,0.91,1,"-4,135",1,"0,032","0,0182","1,17E-06","0,0872","0,687","133,045",196347,4,"23,02591",9,1,6
You'll Be In My Heart,Phil Collins,spotify:track:6kvnSiMBa65Nz29g2TYmyW,0.569,0.744,8,"-6,48",1,"0,0298","0,0559","3,19E-06","0,0915","0,655","96,596",258400,4,"31,93791",13,1,6
Your Body's Callin',R. Kelly,spotify:track:4iXZFxEUzTTLMLE5jCyKEb,0.658,0.55,9,"-6,705",1,"0,0302","0,457","0,000728","0,114","0,727","168,289",277493,4,"45,39778",12,1,6
You're The Inspiration,Peter Cetera Featuring Az Yet,spotify:track:2ukfmf2Yup3nwpIyV8znKz,0.645,0.6,10,"-7,605",1,"0,0252","0,0834",0,"0,0599","0,411","143,48",246880,4,"42,81537",9,1,6
You're The One,SWV,spotify:track:67ZorjDM25q7bETfLbHdfS,0.79,0.608,6,"-7,151",1,"0,0363","0,522","0,00491","0,193","0,958","94,166",282600,4,"33,21772",13,1,6
До смерті і довше - Drum & Base and Rock Remix,Skryabin,spotify:track:6CxyIPTqSPvAPXfrIZczs4,0.513,0.76,4,"-10,077",1,"0,0355","1,72E-05","0,00339","0,153","0,961","153,166",430653,4,"25,57331",20,0,6
เพลงนั้น,Viyada Komarakul Na Nakorn,spotify:track:48C2dvxBLAQl6Qp5pM5bBc,0.617,0.427,0,"-10,343",0,"0,0238","0,556","3,11E-05","0,105","0,477","145,786",224667,4,"17,07316",11,0,6
แพ้ใจ,Mai Charoenpura,spotify:track:6Z5nlPYAN6WfubM40ELc6X,0.672,0.398,0,"-8,758",1,"0,0281","0,57",0,"0,16","0,314","74,007",221387,4,"38,42628",10,0,6
ขอจันทร์,Viyada Komarakul Na Nakorn,spotify:track:0U0w3Ih5zX45OJCW12xlaj,0.689,0.366,9,"-11,952",1,"0,0287","0,838","0,000135","0,056","0,371","129,805",240267,4,"71,54559",10,0,6
คงเดิม,Asanee & Wasan,spotify:track:6yVQGme4IdVTzznp9MmeON,0.707,0.603,7,"-9,533",1,"0,0267","0,477","1,23E-06","0,098","0,756","119,995",222360,4,"44,53343",12,0,6
วิมานดิน,Nantida Kaewbuasai,spotify:track:05Hdc4jTJq9yyl89kXGCvy,0.646,0.389,3,"-7,438",1,"0,0252","0,866",0,"0,187","0,242","131,986",251813,4,"47,49447",10,0,6
หยุดเลย,J Jetrin,spotify:track:34ymFuVHX4eH1q3uXTh4pQ,0.586,0.546,9,"-8,547",0,"0,0265","0,454",0,"0,0935","0,262","140,824",250387,4,"41,72215",11,0,6

